name	type	citation
eggNOG-mapper	tools	J. Huerta-Cepas, K. Forslund, L. P. Coelho, D. Szklarczyk, L. J. Jensen, C. von Mering, P. Bork, Fast Genome-Wide Functional Annotation through Orthology Assignment by eggNOG-Mapper. Mol. Biol. Evol. 34, 2115–2122 (2017) doi:10.1093/molbev/msx148 
FastANI	tools	Jain C, Rodriguez-R LM, Phillippy AM, Konstantinidis KT, Aluru S. High throughput ANI analysis of 90K prokaryotic genomes reveals clear species boundaries. Nat Commun. 2018;9(1):5114. doi:10.1038/s41467-018-07641-9
FastQC	tools	Andrews S, Krueger F, Seconds-Pichon A, Biggins F, Wingett S. FastQC A Quality Control tool for High Throughput Sequence Data. Babraham Bioinformatics. 2012. 2016.
fastq-dl	tools	Petit RA III. Fastq-Dl - Download FASTQ Files from SRA or ENA Repositories. Github https://github.com/rpetit3/fastq-dl. Accessed February 10, 2020.
fastq-scan	tools	Petit RA III. Fastq-Scan: Generate Summary Statistics of Input FASTQ Sequences. Github https://github.com/rpetit3/fastq-scan. Accessed September 24, 2019.
FastTree 2	tools	Price MN, Dehal PS, Arkin AP. FastTree 2 – Approximately Maximum-Likelihood Trees for Large Alignments. PLoS One. 2010;5(3):e9490. doi:10.1371/journal.pone.0009490
FLASH	tools	Magoč T, Salzberg SL. FLASH: fast length adjustment of short reads to improve genome assemblies. Bioinformatics. 2011;27(21):2957-2963. doi:10.1093/bioinformatics/btr507
freebayes	tools	Garrison E, Marth G. Haplotype-based variant detection from short-read sequencing. arXiv [q-bioGN]. July 2012. http://arxiv.org/abs/1207.3907.
GNU Parallel	tools	Tange O. GNU Parallel 2018.; 2018. doi:10.5281/zenodo.1146014
GTDB-tk	tools	Chaumeil P-A, Mussig AJ, Hugenholtz P, Parks DH. GTDB-Tk: a toolkit to classify genomes with the Genome Taxonomy Database. Bioinformatics. November 2019. doi:10.1093/bioinformatics/btz848
HMMER	tools	Eddy SR. Accelerated Profile HMM Searches. PLoS Comput Biol. 2011;7(10):e1002195. doi:10.1371/journal.pcbi.1002195
Infernal	tools	Nawrocki EP, Eddy SR. Infernal 1.1: 100-fold faster RNA homology searches. Bioinformatics. 2013;29(22):2933-2935. doi:10.1093/bioinformatics/btt509
ISMapper	tools	Hawkey J, Hamidian M, Wick RR, et al. ISMapper: identifying transposase insertion sites in bacterial genomes from short read sequence data. BMC Genomics. 2015;16:667. doi:10.1186/s12864-015-1860-2
IQ-TREE	tools	Nguyen L-T, Schmidt HA, von Haeseler A, Minh BQ. IQ-TREE: a fast and effective stochastic algorithm for estimating maximum-likelihood phylogenies. Mol Biol Evol. 2015;32(1):268-274. doi:10.1093/molbev/msu300
IQ-TREE (ModelFinder)	tools	Kalyaanamoorthy S, Minh BQ, Wong TKF, von Haeseler A, Jermiin LS. ModelFinder: fast model selection for accurate phylogenetic estimates. Nat Methods. 2017;14(6):587-589. doi:10.1038/nmeth.4285
IQ-TREE (UFBoot2)	tools	Hoang DT, Chernomor O, von Haeseler A, Minh BQ, Vinh LS. UFBoot2: Improving the Ultrafast Bootstrap Approximation. Mol Biol Evol. 2018;35(2):518-522. doi:10.1093/molbev/msx281
Lighter	tools	Song L, Florea L, Langmead B. Lighter: fast and memory-efficient sequencing error correction without counting. Genome Biol. 2014;15(11):509. doi:10.1186/s13059-014-0509-9
MAFFT	tools	Katoh K, Standley DM. MAFFT multiple sequence alignment software version 7: improvements in performance and usability. Mol Biol Evol. 2013;30(4):772-780. doi:10.1093/molbev/mst010
Mash	tools	Ondov BD, Treangen TJ, Melsted P, et al. Mash: fast genome and metagenome distance estimation using MinHash. Genome Biol. 2016;17(1):132. doi:10.1186/s13059-016-0997-x
Mashtree	tools	Katz, L. S., Griswold, T., Morrison, S., Caravas, J., Zhang, S., den Bakker, H.C., Deng, X., and Carleton, H. A. Mashtree: a rapid comparison of whole genome sequence files. Journal of Open Source Software, 4(44), 1762, (2019) doi:10.21105/joss.01762 
maskrc-svg	tools	Kwong J. Maskrc-Svg - Masks Recombination as Detected by ClonalFrameML or Gubbins and Draws an SVG. Github https://github.com/kwongj/maskrc-svg. Accessed February 11, 2020.
McCortex	tools	Turner I, Garimella KV, Iqbal Z, McVean G. Integrating long-range connectivity information into de Bruijn graphs. Bioinformatics. 2018;34(15):2556-2565. doi:10.1093/bioinformatics/bty157
MEGAHIT	tools	Li D, Liu C-M, Luo R, Sadakane K, Lam T-W. MEGAHIT: an ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph. Bioinformatics. 2015;31(10):1674-1676. doi:10.1093/bioinformatics/btv033
MinCED	tools	Skennerton CT. MinCED: Mining CRISPRs in Environmental Datasets. Github https://github.com/ctSkennerton/minced. Accessed September 24, 2019.
Minimap2	tools	Li H. Minimap2: pairwise alignment for nucleotide sequences. Bioinformatics. 2018;34(18):3094-3100. doi:10.1093/bioinformatics/bty191
ncbi-genome-download	tools	Blin K. Ncbi-Genome-Download - Scripts to Download Genomes from the NCBI FTP Servers. Github https://github.com/kblin/ncbi-genome-download. Accessed February 11, 2020.
Nextflow	tools	Di Tommaso P, Chatzou M, Floden EW, Barja PP, Palumbo E, Notredame C. Nextflow enables reproducible computational workflows. Nat Biotechnol. 2017;35(4):316-319. doi:10.1038/nbt.3820
nhmmer	tools	Wheeler TJ, Eddy SR. nhmmer: DNA homology search with profile HMMs. Bioinformatics. 2013;29(19):2487-2489. doi:10.1093/bioinformatics/btt403
phyloFlash	tools	Gruber-Vodicka HR, Seah BKB, Pruesse E. phyloFlash – Rapid SSU rRNA profiling and targeted assembly from metagenomes. bioRxiv. January 2019:521922. doi:10.1101/521922
Pigz	tools	Adler M. pigz: A parallel implementation of gzip for modern multi-processor, multi-core machines. Jet Propulsion Laboratory. 2015.
Pilon	tools	Walker BJ, Abeel T, Shea T, et al. Pilon: An Integrated Tool for Comprehensive Microbial Variant Detection and Genome Assembly Improvement. PLoS One. 2014;9(11):e112963. doi:10.1371/journal.pone.0112963
PIRATE	tools	S. C. Bayliss, H. A. Thorpe, N. M. Coyle, S. K. Sheppard, E. J. Feil PIRATE: A fast and scalable pangenomics toolbox for clustering diverged orthologues in bacteria. Gigascience. 8 (2019) doi:10.1093/gigascience/giz119
pplacer	tools	Matsen FA, Kodner RB, Armbrust EV. pplacer: linear time maximum-likelihood and Bayesian phylogenetic placement of sequences onto a fixed reference tree. BMC Bioinformatics. 2010;11:538. doi:10.1186/1471-2105-11-538
Prodigal	tools	Hyatt D, Chen G-L, Locascio PF, Land ML, Larimer FW, Hauser LJ. Prodigal: prokaryotic gene recognition and translation initiation site identification. BMC Bioinformatics. 2010;11:119. doi:10.1186/1471-2105-11-119
Prokka	tools	Seemann T. Prokka: rapid prokaryotic genome annotation. Bioinformatics. 2014;30(14):2068-2069. doi:10.1093/bioinformatics/btu153
QUAST	tools	Gurevich A, Saveliev V, Vyahhi N, Tesler G. QUAST: quality assessment tool for genome assemblies. Bioinformatics. 2013;29(8):1072-1075. doi:10.1093/bioinformatics/btt086
Racon	tools	Vaser R, Sović I, Nagarajan N, Šikić M. Fast and accurate de novo genome assembly from long uncorrected reads. Genome Res. 2017;27(5):737-746. doi:10.1101/gr.214270.116
Roary	tools	Page AJ, Cummins CA, Hunt M, et al. Roary: rapid large-scale prokaryote pan genome analysis. Bioinformatics. 2015;31(22):3691-3693. doi:10.1093/bioinformatics/btv421
samclip	tools	Seemann T. Samclip: Filter SAM File for Soft and Hard Clipped Alignments. Github https://github.com/tseemann/samclip. Accessed September 24, 2019.
SAMtools	tools	Li H, Handsaker B, Wysoker A, et al. The Sequence Alignment/Map format and SAMtools. Bioinformatics. 2009;25(16):2078-2079. doi:10.1093/bioinformatics/btp352
Seqtk	tools	Li H. seqtk Toolkit for processing sequences in FASTA/Q formats. 2012.
Shovill	tools	Seemann T. Shovill: De Novo Assembly Pipeline for Illumina Paired Reads. Github https://github.com/tseemann/shovill. Accessed September 24, 2019.
SKESA	tools	Souvorov A, Agarwala R, Lipman DJ. SKESA: strategic k-mer extension for scrupulous assemblies. Genome Biol. 2018;19(1):153. doi:10.1186/s13059-018-1540-z
Snippy	tools	Seemann T. Snippy: Fast Bacterial Variant Calling from NGS Reads. Github https://github.com/tseemann/snippy. Accessed September 24, 2019.
SnpEff	tools	Cingolani P, Platts A, Wang LL, et al. A program for annotating and predicting the effects of single nucleotide polymorphisms, SnpEff: SNPs in the genome of Drosophila melanogaster strain w1118; iso-2; iso-3. Fly . 2012;6(2):80-92. doi:10.4161/fly.19695
snp-dists	tools	Seemann T. Snp-Dists - Pairwise SNP Distance Matrix from a FASTA Sequence Alignment. Github https://github.com/tseemann/snp-dists. Accessed February 11, 2020.
SNP-sites	tools	Page AJ, Taylor B, Delaney AJ, et al. SNP-sites: rapid efficient extraction of SNPs from multi-FASTA alignments. Microb Genom. 2016;2(4):e000056. doi:10.1099/mgen.0.000056
Sourmash	tools	Titus Brown C, Irber L. sourmash: a library for MinHash sketching of DNA. JOSS. 2016;1(5):27. doi:10.21105/joss.00027
SPAdes	tools	Bankevich A, Nurk S, Antipov D, et al. SPAdes: A New Genome Assembly Algorithm and Its Applications to Single-Cell Sequencing | Journal of Computational Biology. Mary Ann Liebert, Inc., publishers. https://www.liebertpub.com/doi/10.1089/cmb.2012.0021. Accessed November 8, 2018.
Trimmomatic	tools	Bolger AM, Lohse M, Usadel B. Trimmomatic: a flexible trimmer for Illumina sequence data. Bioinformatics. 2014;30(15):2114-2120. doi:10.1093/bioinformatics/btu170
Unicycler	tools	Wick RR, Judd LM, Gorrie CL, Holt KE. Unicycler: Resolving bacterial genome assemblies from short and long sequencing reads. PLoS Comput Biol. 2017;13(6):e1005595. doi:10.1371/journal.pcbi.1005595
vcf-annotator	tools	Petit RA III. VCF-Annotator: Add Biological Annotations to Variants in a VCF File. Github https://github.com/rpetit3/vcf-annotator. Accessed September 24, 2019.
Vcflib	tools	Vcflib: A C++ Library for Parsing and Manipulating VCF Files. Github https://github.com/vcflib/vcflib. Accessed September 24, 2019.
Velvet	tools	Zerbino DR, Birney E. Velvet: Algorithms for de novo short read assembly using de Bruijn graphs. Genome Res. 2008;18(5):821-829. doi:10.1101/gr.074492.107
VSEARCH	tools	Rognes T, Flouri T, Nichols B, Quince C, Mahé F. VSEARCH: a versatile open source tool for metagenomics. PeerJ. 2016;4:e2584. doi:10.7717/peerj.2584
vt	tools	Tan A, Abecasis GR, Kang HM. Unified representation of genetic variants. Bioinformatics. 2015;31(13):2202-2204. doi:10.1093/bioinformatics/btv112
