sample	status	reason
ERX1046401	exclude	Failed to pass minimum cutoffs, reason: Low coverage (18.17x, expect >= 20x);Too many contigs (559, expect <= 500)
SRX762279	exclude	Failed to pass minimum cutoffs, reason: Low coverage (16.51x, expect >= 20x)
SRX130904	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (719, expect <= 500)
ERX1046402	exclude	Failed to pass minimum cutoffs, reason: Low coverage (13.30x, expect >= 20x);Too many contigs (857, expect <= 500)
SRX762507	exclude	Failed to pass minimum cutoffs, reason: Low coverage (16.75x, expect >= 20x)
SRX6454043	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (801, expect <= 500)
ERX178661	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (1079, expect <= 500)
SRX5992988	exclude	Failed to pass minimum cutoffs, reason: Low coverage (9.19x, expect >= 20x);Too many contigs (1440, expect <= 500)
SRX130897	exclude	Failed to pass minimum cutoffs, reason: Low coverage (18.31x, expect >= 20x);Too many contigs (940, expect <= 500)
SRX318181	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (692, expect <= 500)
SRX130903	exclude	Failed to pass minimum cutoffs, reason: Low coverage (17.02x, expect >= 20x);Too many contigs (677, expect <= 500)
SRX6454035	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (687, expect <= 500)
SRX762687	exclude	Failed to pass minimum cutoffs, reason: Low coverage (19.54x, expect >= 20x)
ERX450866	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (902, expect <= 500)
SRX5992480	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (843, expect <= 500)
ERX1046392	exclude	Failed to pass minimum cutoffs, reason: Low coverage (11.54x, expect >= 20x);Too many contigs (755, expect <= 500)
ERX271964	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (900, expect <= 500)
ERX1046393	exclude	Failed to pass minimum cutoffs, reason: Low coverage (17.59x, expect >= 20x);Too many contigs (544, expect <= 500)
ERX450885	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (554, expect <= 500)
SRX1950180	exclude	Failed to pass minimum cutoffs, reason: Short read length (35.00bp, expect >= 49 bp);Too many contigs (962, expect <= 500)
SRX1842889	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (1016, expect <= 500)
SRX059832	exclude	Failed to pass minimum cutoffs, reason: Short read length (35.00bp, expect >= 49 bp)
ERX1046391	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (631, expect <= 500)
SRX761992	exclude	Failed to pass minimum cutoffs, reason: Low coverage (18.30x, expect >= 20x)
SRX6454040	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (792, expect <= 500)
ERX1046407	exclude	Failed to pass minimum cutoffs, reason: Low coverage (18.63x, expect >= 20x)
SRX130916	exclude	Failed to pass minimum cutoffs, reason: Low coverage (16.95x, expect >= 20x)
ERX271983	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (515, expect <= 500)
ERX359777	exclude	Failed to pass minimum cutoffs, reason: Too many contigs (674, expect <= 500)
SRX1950181	exclude	Failed to pass minimum cutoffs, reason: Short read length (35.00bp, expect >= 49 bp)
ERX1046390	exclude	Failed to pass minimum cutoffs, reason: Low coverage (14.83x, expect >= 20x);Too many contigs (783, expect <= 500)
