sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_repeat_region	annotation_tRNA	annotation_tmRNA	rank	reason
DRX061120	2368980	True	770499300	325.246	5136662	150	150	0	150	150	150	150	5	35.203	2.753	38	36	35.500	37	236898060	100.000	1726664	35	137.200	25.386	150	150	138	150	12.500	35.805	2.462	40	36	36	37	0.00	26.54	23.63	23.18	0.00	26.65	4	38	65	0	9	255894	30067	12039	510	79330	0	5.41	51.35	87.84	0.00	74	2225031	Lactobacillus spp. strain	74	2225031	1957	2037	5	2	74	1	gold	passed all cutoffs
DRX061121	3124230	True	626667300	200.582	4177782	150	150	0	150	150	150	150	5	35.375	2.678	38	36	35.500	37	312423048	100.000	2164758	35	144.322	17.637	150	150	150	150	12.500	35.641	2.482	40	36	35.500	37	0.00	26.61	23.53	23.11	0.00	26.75	8	16	22	0	4	514722	76900	16609	601	172263	0	28.57	57.14	78.57	0.00	28	2153223	Lactobacillus spp. strain	28	2153223	1880	1959	6	1	72	1	gold	passed all cutoffs
DRX061122	2327250	True	812271900	349.026	5415146	150	150	0	150	150	150	150	5	35.053	2.949	38	36	35	36.500	232725026	100.000	1666478	35	139.651	23.205	150	150	148.500	150	11	35.507	2.735	40	36	35.500	37	0.00	26.77	23.06	23.72	0.00	26.45	7	12	20	0	3	509231	89199	17315	690	295640	0	29.17	50.00	83.33	0.00	24	2140792	Lactobacillus spp. strain	24	2140792	1904	1977	6	1	66	1	gold	passed all cutoffs
DRX061124	3743510	True	720090900	192.357	4800606	150	150	0	150	150	150	150	5	35.280	2.738	38	36	35.500	37	374351207	100.000	2628342	35	142.429	20.289	150	150	150	150	12	35.647	2.514	40	36	35.500	37	0.00	26.54	23.76	23.06	0.00	26.65	5	37	59	0	9	255894	31837	13387	545	84227	0	7.14	52.86	84.29	0.00	70	2228599	Lactobacillus spp. strain	70	2228599	1960	2044	5	2	78	1	gold	passed all cutoffs
DRX061125	2343170	True	831142800	354.708	5540952	150	150	0	150	150	150	150	4.500	35.364	2.615	38	36	35.500	37	234317009	100.000	1676878	35	139.734	22.982	150	150	148.500	150	12.500	35.818	2.375	40	36	36	37	0.00	26.55	23.67	22.92	0.00	26.86	7	16	26	0	4	466106	73541	19982	708	179610	0	23.33	53.33	86.67	0.00	30	2206234	Lactobacillus spp. strain	30	2206234	1927	1999	6	4	65	1	gold	passed all cutoffs
DRX061126	3928150	True	694990800	176.926	4633272	150	150	0	150	150	150	150	5	35.081	2.877	38	36	35.500	36.500	392815081	100.000	2793956	35	140.595	22.159	150	150	150	150	12	35.491	2.674	40	36	35.500	37	0.00	26.49	23.50	23.44	0.00	26.57	5	17	35	0	3	488503	52094	6849	536	212726	0	13.16	44.74	92.11	0.00	38	1979573	Lactobacillus spp. strain	38	1979573	1775	1863	9		78	1	gold	passed all cutoffs
DRX061127	2094360	True	848647800	405.206	5657652	150	150	0	150	150	150	150	5	35.885	2.385	38	37	36	37	209436022	100.000	1512248	35	138.493	23.900	150	150	142	150	11.500	36.414	2.111	40	37	36	37	0.00	30.56	19.84	18.28	0.00	31.33	4	23	29	0	4	386758	59291	24676	606	148741	0	12.50	71.88	90.62	0.00	32	1897313	Lactobacillus spp. strain	32	1897313	1880	1943	3		59	1	gold	passed all cutoffs
DRX061128	2609040	True	818764200	313.818	5458428	150	150	0	150	150	150	150	4.500	35.260	2.702	38	36	35.500	37	260904114	100.000	1881764	35	138.649	24.124	150	150	144	150	12	35.787	2.435	40	36	36	37	0.00	26.61	23.61	23.16	0.00	26.62	9	39	68	0	10	145213	31062	10951	510	87833	0	12.00	52.00	90.67	0.00	75	2329689	Lactobacillus spp. strain	75	2329689	2029	2117	8	3	79	1	gold	passed all cutoffs
DRX061129	3210350	True	775767300	241.646	5171782	150	150	0	150	150	150	150	5.500	35.432	2.586	38	36	35.500	37	321035009	100.000	2223528	35	144.381	17.613	150	150	150	150	12.500	35.692	2.403	40	36	36	37	0.00	26.68	23.48	23.15	0.00	26.68	7	16	27	0	4	360044	70395	13520	629	281574	0	22.58	51.61	87.10	0.00	31	2182266	Lactobacillus spp. strain	31	2182266	1917	2007	7	2	82	1	gold	passed all cutoffs
DRX061130	2521380	True	757221300	300.320	5048142	150	150	0	150	150	150	150	4.500	34.856	3.047	38	36	34.500	36.500	252137998	100.000	1809828	35	139.316	23.523	150	150	147.500	150	11.500	35.338	2.802	40	36	35.500	37	0.00	24.07	25.80	25.55	0.00	24.58	3	55	81	0	15	114494	25137	14534	506	53382	0	3.41	62.50	92.05	0.00	88	2212139	Lactobacillus spp. strain	88	2212139	1966	2043	4	1	72	1	gold	passed all cutoffs
DRX061131	2201750	True	961846800	436.856	6412312	150	150	0	150	150	150	150	5	35.918	2.356	38	37	36	37	220175026	100.000	1591702	35	138.327	24.151	150	150	142	150	11.500	36.456	2.086	40	37	36	37	0.00	30.56	19.85	18.15	0.00	31.45	4	27	36	0	4	386532	48716	19024	524	148741	0	10.00	67.50	90.00	0.00	40	1948662	Lactobacillus spp. strain	40	1948662	1923	1985	3		58	1	gold	passed all cutoffs
DRX061132	2460420	True	958185000	389.440	6387900	150	150	0	150	150	150	150	5	35.042	2.865	38.500	36	34.500	36.500	246042058	100.000	1837292	35	133.916	28.265	150	150	127	150	11	35.822	2.514	40	36	36	37	0.00	26.40	24.14	22.52	0.00	26.94	8	20	32	0	6	295040	49554	10871	502	125746	0	20.00	50.00	80.00	0.00	40	1982175	Lactobacillus spp. strain	40	1982175	1853	1921	5	2	62	1	gold	passed all cutoffs
DRX061133	2317440	True	834448800	360.074	5562992	150	150	0	150	150	150	150	5	35.820	2.443	38	37	36	37	231744243	100.000	1681524	35	137.818	25.148	150	150	141.500	150	12	36.369	2.173	40	37	36	37	0.00	30.93	19.21	19.51	0.00	30.35	2	56	105	0	16	120447	17065	9712	510	35358	0	1.75	49.12	92.11	0.00	114	1945486	Lactobacillus spp. strain	114	1945486	1882	1953	4		66	1	silver	Too many contigs (114, expect <= 100)
DRX061134	3408150	True	638542200	187.357	4256948	150	150	0	150	150	150	150	4.500	35.189	2.852	38	36	35.500	36.500	340815035	100.000	2390632	35	142.562	19.959	150	150	150	150	12	35.523	2.660	40	36	35.500	37	0.00	26.91	23.48	22.53	0.00	27.07	4	21	30	0	4	437819	53550	22476	502	105411	0	11.11	58.33	83.33	0.00	36	1927809	Lactobacillus spp. strain	36	1927809	1771	1859	5	3	82	1	gold	passed all cutoffs
DRX061135	3634580	True	696555000	191.647	4643700	150	150	0	150	150	150	150	5	35.075	2.873	38	36	35	36.500	363458021	100.000	2524000	35	144.001	18.017	150	150	150	150	12	35.382	2.640	40	36	35.500	37	0.00	24.07	25.83	25.32	0.00	24.77	2	46	82	0	13	244618	26136	13390	567	51208	0	2.27	52.27	93.18	0.00	88	2300013	Lactobacillus spp. strain	88	2300013	2002	2076	5	2	68	1	gold	passed all cutoffs
DRX061136	3288070	True	1045545600	317.982	6970304	150	150	0	150	150	150	150	5	35.200	2.900	38	36.500	34.500	37	328807115	100.000	2787046	35	117.977	35.995	132	150	90	150	12	36.896	2.218	40	37	36.500	38	0.00	31.24	18.73	19.03	0.00	31.00	5	40	58	0	10	164765	32033	13848	525	67949	0	7.94	63.49	92.06	0.00	63	2018139	Lactobacillus spp. strain	63	2018139	2013	2072	3	1	55	1	gold	passed all cutoffs
DRX061138	1974820	True	734795100	372.082	4898634	150	150	0	150	150	150	150	5	35.779	2.529	38	36.500	36	37	197482054	100.000	1425886	35	138.498	24.448	150	150	144	150	12.500	36.276	2.304	40	37	36	37	0.00	31.04	18.82	19.39	0.00	30.75	4	40	57	0	8	221181	28678	12408	500	64655	0	6.15	61.54	87.69	0.00	65	1864071	Lactobacillus spp. strain	65	1864071	1824	1887	3		59	1	gold	passed all cutoffs
DRX061139	2419170	True	874772700	361.600	5831818	150	150	0	150	150	150	150	4.500	35.958	2.347	38	37	36	37	241916977	100.000	1751360	35	138.131	24.444	150	150	141	150	12.500	36.514	2.053	40	37	36	37	0.00	30.73	19.54	18.21	0.00	31.53	7	28	41	0	6	254829	46998	14849	536	146418	0	15.56	62.22	91.11	0.00	45	2114910	Lactobacillus spp. strain	45	2114910	2088	2150	4	2	57	1	gold	passed all cutoffs
DRX061140	2137540	True	810036000	378.958	5400240	150	150	0	150	150	150	150	5.500	35.321	2.667	38	36	35.500	37	213753905	100.000	1540244	35	138.779	24.314	150	150	146	150	12	35.858	2.377	40	36	36	37	0.00	28.02	21.88	21.58	0.00	28.52	4	44	62	0	10	210905	29503	20192	525	58777	0	5.80	63.77	89.86	0.00	69	2035768	Lactobacillus spp. strain	69	2035768	1912	1980	5	2	62	1	gold	passed all cutoffs
DRX061142	2124540	True	902903400	424.988	6019356	150	150	0	150	150	150	150	4.500	35.747	2.593	38	36.500	36	37	212454187	100.000	1533958	35	138.500	24.343	150	150	144	150	12.500	36.254	2.362	40	37	36	37	0.00	31.06	18.94	19.20	0.00	30.80	5	40	58	0	8	340199	32045	18464	698	51232	0	8.20	65.57	95.08	0.00	61	1954774	Lactobacillus spp. strain	61	1954774	1958	2020	3		58	1	gold	passed all cutoffs
DRX061143	2421110	True	858960300	354.780	5726402	150	150	0	150	150	150	150	5	35.232	2.737	38	36	35.500	37	242110992	100.000	1747262	35	138.566	23.902	150	150	142.500	150	13	35.768	2.469	40	36	36	37	0.00	26.60	23.71	22.94	0.00	26.75	10	28	45	0	7	248554	43288	12552	520	130156	0	20.00	56.00	90.00	0.00	50	2164406	Lactobacillus spp. strain	50	2164406	1951	2019	5	2	62	1	gold	passed all cutoffs
DRX061145	2510820	True	831072900	330.996	5540486	150	150	0	150	150	150	150	5	36.078	2.300	38	37	36	37	251081941	100.000	1866508	35	134.520	27.782	150	150	129	150	12	36.790	1.962	40	37	37	37.500	0.00	33.05	17.05	17.42	0.00	32.48	1	58	109	0	19	113541	16881	9830	738	35307	0	0.86	50.00	93.97	0.00	116	1958219	Lactobacillus spp. strain	116	1958219	1850	1907	3		53	1	silver	Too many contigs (116, expect <= 100)
DRX061146	2629280	True	906557700	344.794	6043718	150	150	0	150	150	150	150	4.500	35.913	2.471	38	37	36	37	262927890	100.000	1992778	35	131.940	29.560	150	150	121	150	12.500	36.723	2.143	40	37	36.500	37.500	0.00	32.45	17.70	16.69	0.00	33.16	7	18	31	0	5	258286	60018	21020	502	178439	0	20.59	52.94	91.18	0.00	34	2040616	Lactobacillus spp. strain	34	2040616	1873	1926	3		49	1	gold	passed all cutoffs
DRX061149	2129930	True	807510600	379.126	5383404	150	150	0	150	150	150	150	5	35.923	2.360	38	37	36	37	212993078	100.000	1528304	35	139.365	23.630	150	150	148.500	150	12	36.405	2.109	40	37	36	37	0.00	30.96	19.21	18.86	0.00	30.96	3	38	71	0	10	168860	24054	9472	568	74396	0	3.66	46.34	86.59	0.00	82	1972483	Lactobacillus spp. strain	82	1972483	1935	1997	4	2	57	1	gold	passed all cutoffs
DRX061150	2330140	True	781699200	335.474	5211328	150	150	0	150	150	150	150	4.500	35.118	2.895	38	36	35.500	36.500	233014073	100.000	1639470	35	142.127	20.518	150	150	150	150	11.500	35.478	2.692	40	36	35.500	37	0.00	26.55	23.64	22.69	0.00	27.12	6	23	38	0	5	452226	50877	17573	592	143166	0	14.29	54.76	90.48	0.00	42	2136872	Lactobacillus spp. strain	42	2136872	2025	2097	7	4	64	1	gold	passed all cutoffs
DRX061151	3044090	True	692507700	227.492	4616718	150	150	0	150	150	150	150	4.500	35.355	2.672	38	36	35.500	37	304408892	100.000	2120156	35	143.578	18.585	150	150	150	150	13	35.670	2.448	40	36	35.500	37	0.00	26.70	23.46	22.75	0.00	27.09	7	25	31	0	7	212634	44922	21443	526	103437	0	16.67	59.52	73.81	0.00	42	1886741	Lactobacillus spp. strain	42	1886741	1701	1791	5		84	1	gold	passed all cutoffs
DRX061153	2204960	True	877294500	397.874	5848630	150	150	0	150	150	150	150	5	35.835	2.438	38	37	36	37	220496015	100.000	1591206	35	138.572	24.246	150	150	144	150	12	36.344	2.179	40	37	36	37	0.00	30.83	18.78	19.87	0.00	30.52	2	48	73	0	14	104786	21797	13938	530	37854	0	2.41	57.83	87.95	0.00	83	1809191	Lactobacillus spp. strain	83	1809191	1766	1833	3	1	63	1	gold	passed all cutoffs
DRX061154	2161190	True	800038800	370.184	5333592	150	150	0	150	150	150	150	5	35.649	2.639	38	36.500	35.500	37	216119032	100.000	1574220	35	137.286	25.427	150	150	139	150	12	36.202	2.403	40	37	36	37	0.00	30.91	19.09	19.63	0.00	30.37	0	48	78	0	15	92564	20357	11315	502	39136	0	0.00	53.33	86.67	0.00	90	1832130	Lactobacillus spp. strain	90	1832130	1776	1842	3	1	62	1	gold	passed all cutoffs
DRX061155	4141580	True	826774200	199.628	5511828	150	150	0	150	150	150	150	4.500	35.344	2.662	38	36	35.500	37	414158164	100.000	2926210	35	141.534	21.174	150	150	150	150	11.500	35.751	2.421	40	36	36	37	0.00	26.80	23.54	22.68	0.00	26.98	8	23	30	0	6	212710	52275	26813	571	115575	0	22.22	63.89	83.33	0.00	36	1881904	Lactobacillus spp. strain	36	1881904	1698	1788	5		84	1	gold	passed all cutoffs
DRX061157	2308220	True	918942900	398.118	6126286	150	150	0	150	150	150	150	4	35.874	2.394	38	37	36	37	230822149	100.000	1694212	35	136.241	26.357	150	150	135	150	12.500	36.498	2.097	40	37	36	37	0.00	31.02	19.07	19.06	0.00	30.86	3	41	71	0	12	151206	25759	13602	519	53202	0	4.00	54.67	94.67	0.00	75	1931994	Lactobacillus spp. strain	75	1931994	1918	1977	3		55	1	gold	passed all cutoffs
DRX061158	2262430	True	773377200	341.834	5155848	150	150	0	150	150	150	150	5	34.921	3.041	38	36	34.500	36.500	226242970	100.000	1621196	35	139.553	23.185	150	150	148	150	12.500	35.394	2.803	40	36	35.500	37	0.00	24.72	25.33	24.57	0.00	25.37	5	44	65	0	11	202644	32229	18379	573	72647	0	7.25	63.77	94.20	0.00	69	2223849	Lactobacillus spp. strain	69	2223849	1944	2008	1	2	62	1	gold	passed all cutoffs
DRX061159	3731350	True	795597900	213.220	5303986	150	150	0	150	150	150	150	5	35.328	2.663	38	36	35.500	37	373135027	100.000	2605112	35	143.232	19.018	150	150	150	150	12.500	35.656	2.449	40	36	35.500	37	0.00	26.36	24.00	22.73	0.00	26.91	6	34	57	0	7	296401	33980	12333	510	87782	0	9.23	52.31	87.69	0.00	65	2208723	Lactobacillus spp. strain	65	2208723	1907	1992	4	1	80	1	gold	passed all cutoffs
DRX067012	2231670	True	1778139200	796.776	17781392	100	100	0	100	100	100	100	2	36.622	4.078	40	38	37	38	223167160	100.000	2241498	35	99.562	3.840	100	100	100	100	17.500	37.049	2.183	40	38	37	38	0.00	30.76	19.22	19.43	0.00	30.60	5	42	66	0	11	108499	24765	15045	527	66323	0	6.41	53.85	84.62	0.00	78	1931703	Lactobacillus spp. strain	78	1931703	1915	1981	3		62	1	gold	passed all cutoffs
DRX150619	2105380	True	1285774800	610.710	4285916	300	300	0	300	300	300	300	10	34.194	2.700	37	35	33.500	36	210537999	100.000	705492	44	298.427	14.589	300	300	300	300	12	34.233	2.584	37	35	33.500	36	0.00	32.80	16.90	18.01	0.00	32.29	5	11	16	0	2	626500	112219	25434	559	453846	0	27.78	61.11	88.89	0.00	18	2019954	Lactobacillus spp. strain	18	2019954	1935	1991	3		52	1	gold	passed all cutoffs
DRX150620	2062390	True	1509051000	731.700	5030170	300	300	0	300	300	300	300	10.500	34.166	2.696	37	35	33.500	36	206239002	100.000	693514	45	297.382	18.665	300	300	300	300	12	34.200	2.612	37	35	34	36	0.00	33.27	15.92	18.79	0.00	32.02	9	11	16	0	4	404781	100390	62519	559	205746	0	47.37	57.89	84.21	0.00	19	1907427	Lactobacillus spp. strain	19	1907427	1804	1857	2		50	1	gold	passed all cutoffs
DRX150621	2165840	True	2166764400	1000.426	7222548	300	300	0.000	300	300	300	300	10	34.216	2.676	37	35	33.500	36	216584180	100.000	723928	41	299.179	10.617	300	300	300	300	11	34.224	2.657	37	35	33.500	36	0.00	32.83	16.63	18.04	0.00	32.50	6	27	33	0	6	330956	54390	35538	715	100361	0	16.67	75.00	91.67	0.00	36	1958064	Lactobacillus spp. strain	36	1958064	1935	1991	4	1	51	1	gold	passed all cutoffs
DRX150622	1962540	True	1719208500	876.012	6876834	250	250	0	250	250	250	250	10	37.169	3.289	39	39	36.500	39	196254131	100.000	787760	35	249.130	10.002	250	250	250	250	15.500	37.197	3.234	39.500	39	36.500	39	0.00	32.65	17.49	17.17	0.00	32.68	4	7	12	0	2	923539	142927	28268	832	308856	0	30.77	53.85	92.31	0.00	13	1858054	Lactobacillus spp. strain	13	1858054	1787	1844	4	4	52	1	gold	passed all cutoffs
ERX034808	2425910	True	1435721000	591.828	14357210	100	100	0	100	100	100	100	7	32.997	4.439	40	34	31	36.500	242591001	100.000	2427354	36	99.941	0.747	100	100	100	100	11.500	33.037	4.383	40	34	31	36.500	0.00	30.21	19.69	21.35	0.00	28.75	0	6	165	0	48	13333	3045	1631	502	5804	0	0.00	2.39	65.74	0.00	251	764471	Lactobacillus spp. strain	251	764471	635	646	3	3	8		bronze	Too many contigs (251, expect <= 200)
ERX082528	2287810	True	250892238	109.665	1661538	151	151	0	151	151	151	151	4	32.960	5.952	38	35.500	32.500	36.500	220934328	96.570	1506230	35.500	146.680	10.837	150	150	150	150	12.500	34.678	3.463	40	36	34.500	37	0.00	30.91	19.13	19.09	0.00	30.86	1	49	88	0	17	105026	21776	9115	540	48615	0	1.00	49.00	88.00	0.00	100	2177683	Lactobacillus spp. strain	100	2177683	2096	2171	5		68	2	silver	Low coverage (96.57x, expect >= 100x)
ERX082536	2224780	True	182886972	82.205	1211172	151	151	0	151	151	151	151	3	33.373	6.475	38	36	35	37	152440252	68.519	1043730	35.500	146.053	11.055	150	150	150	150	12.500	35.933	2.336	40	36.500	36	37	0.00	30.75	19.21	19.45	0.00	30.59	6	38	58	0	11	119637	28168	15175	536	66609	0	8.70	55.07	84.06	0.00	69	1943628	Lactobacillus spp. strain	69	1943628	1931	1999	6		61	1	silver	Low coverage (68.52x, expect >= 100x)
ERX1046384	1747820	False	40598509	23.228	545219	32	74.463	0.831	75	75	74	75	2	33.560	3.027	36	35	33	35	38718453	22.152	530303	35	73.012	2.489	75	75	70	75	12	33.753	2.841	36	35	33	35	0.00	32.98	18.04	17.79	0.00	31.19	0	1	32	0	9	10991	2080	1225	505	3321	0	0.00	2.08	66.67	0.00	48	99850	Lactobacillus spp. strain	48	99850	78	88	3		7		bronze	Low coverage (22.15x, expect >= 50x);Short read length (73.01bp, expect >= 75 bp);Single-end reads
ERX1046385	1782520	False	58108007	32.599	780292	32	74.470	0.809	75	75	74	75	2	33.684	2.874	36	35	33	35	55560042	31.169	760853	35	73.023	2.470	75	75	70	75	15	33.876	2.661	36	35	33	35	0.00	32.60	17.53	17.44	0.00	32.44	6	26	43	0	7	189020	36147	11370	605	98686	0	12.00	52.00	86.00	0.00	50	1807386	Lactobacillus spp. strain	50	1807386	1735	1761	3		22	1	bronze	Low coverage (31.17x, expect >= 50x);Short read length (73.02bp, expect >= 75 bp);Single-end reads
ERX1046390	1665010	False	25946774	15.584	348460	32	74.461	0.833	75	75	74	75	2	33.752	2.875	36	35	33	35	24685771	14.826	338072	35	73.019	2.473	75	75	70	75	16	33.837	2.850	36	35	34	35	0.00	33.06	17.09	17.85	0.00	32.00	0	11	478	0	139	20390	1981	1243	500	2865	0	0.00	1.40	61.05	0.00	783	1551429	Lactobacillus spp. strain	783	1551429	1390	1398	3		5		exclude	Low coverage (14.83x, expect >= 20x);Too many contigs (783, expect <= 500)
ERX1046391	1717360	False	36991599	21.540	496870	32	74.449	0.796	75	75	74	75	2	31.757	4.858	36	34	29	35	35956746	20.937	493406	35	72.875	2.502	75	75	70	75	13	31.778	4.862	36	34	29	35	0.00	32.98	17.21	17.73	0.00	32.07	0	17	460	0	121	25766	2665	1752	500	3976	0	0.00	2.69	72.90	0.00	631	1681684	Lactobacillus spp. strain	631	1681684	1513	1527	3		10	1	exclude	Too many contigs (631, expect <= 500)
ERX1046392	1366530	False	16261672	11.900	218358	32	74.472	0.788	75	75	74	75	2	33.190	3.497	36	35	33	35	15763595	11.536	215973	35	72.989	2.485	75	75	70	75	15	33.264	3.456	36	35	33	35	0.00	33.38	16.97	17.81	0.00	31.83	0	0	270	0	217	8965	1029	806	500	1132	0	0.00	0.00	35.76	0.00	755	777084	Lactobacillus spp. strain	755	777084	645	655	3		7		exclude	Low coverage (11.54x, expect >= 20x);Too many contigs (755, expect <= 500)
ERX1046393	1716510	False	31075418	18.104	417225	32	74.481	0.776	75	75	74	75	2	33.734	2.654	36	35	33	35	30198938	17.593	413529	35	73.027	2.465	75	75	70	75	15	33.767	2.644	36	35	33	35	0.00	32.97	17.31	17.61	0.00	32.10	0	28	417	0	104	25766	3156	2085	500	4951	0	0.00	5.15	76.65	0.00	544	1717393	Lactobacillus spp. strain	544	1717393	1589	1606	3		14		exclude	Low coverage (17.59x, expect >= 20x);Too many contigs (544, expect <= 500)
