sample	assembly_species	assembly_taxon	top_mapped_taxon	top_mapped_reads	chao1_estimate	assembly_hit	input_reads	mapped_reads	ntu_observed_once	ntu_observed_twice	ntu_observed_three_plus	message
DRX061132	Lactobacillus mucosae	Lactobacillus	Lactobacillus	5944	50.125	AF126738.1.1568	918646	6290	17	4	14	
DRX061133	Lactobacillus reuteri	Lactobacillus	Lactobacillus	5167	54.500	CP015408.302655.304239	840762	5394	9	1	14	
DRX061134	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	8321	14.167	CP011013.762467.764062	1195316	8527	5	3	10	
DRX061135	Lactobacillus porci	Lactobacillus	Lactobacillus	9707	33.125	MF346092.1.1474	1262000	9926	13	4	12	
DRX061136			Lactobacillus	8084	169.083		1393523	9016	41	6	29	WARNING: missing SPAdes assembly of the SSU
DRX061138	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3342	18.000	EF120369.1.1560	712943	3487	10	5	8	
DRX061139	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3377	15.125	EF120369.1.1560	875680	3499	7	4	9	
DRX061140	Lactobacillus ruminis ATCC 25644	Lactobacillus	Lactobacillus	3619	33.083	AFYE01000091.124.1666	770122	3966	13	6	19	
DRX061142	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3342	23.667	EF120369.1.1560	766979	3456	10	3	7	
DRX061143	Lactobacillus mucosae	Lactobacillus	Lactobacillus	5055	14.000	AF126738.1.1568	873631	5261	6	3	8	
DRX061145	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	5916	29.100	FN298497.455618.457268	933254	6266	11	5	17	
DRX061146	Lactobacillus johnsonii FI9785	Lactobacillus	Lactobacillus	6770	38.889	FN298497.455618.457268	996389	7250	22	9	12	
DRX061149	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3451	21.500	EF120369.1.1560	764152	3580	9	3	8	
DRX061150	Lactobacillus mucosae	Lactobacillus	Lactobacillus	4940	16.000	AF126738.1.1568	819735	5090	8	4	8	
DRX061151	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	7509	21.250	CP011013.762467.764062	1060078	7685	7	2	9	
DRX061153	Lactobacillus reuteri	Lactobacillus	Lactobacillus	3723	25.667	CP014786.1901091.1902675	795603	3878	10	3	9	
DRX061154	Lactobacillus reuteri	Lactobacillus	Lactobacillus	3788	23.500	CP014786.1901091.1902675	787110	3935	9	3	10	
DRX061155	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	10095	23.250	CP011013.762467.764062	1463105	10395	7	2	11	
DRX061157	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3836	38.167	EF120369.1.1560	847106	4002	13	3	10	
DRX061158	uncultured bacterium	Lactobacillus	Lactobacillus	5653	53.500	DQ318872.1.1544	810598	5922	18	4	13	
DRX061159	Lactobacillus mucosae	Lactobacillus	Lactobacillus	7645	57.000	AF126738.1.1568	1302556	7845	10	1	7	
DRX067012	Lactobacillus reuteri DSM 20016	Lactobacillus	Lactobacillus	6034	14.500	CP000705.624382.625950	1120749	6901	1	1	14	
DRX150619	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	1620	8.500	AP018549.475961.477529	352746	1645	3	1	4	
DRX150620	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	1361	12.000	AP018549.475961.477529	346757	1385	4	1	4	
DRX150621	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	1476	n.d.	AP018549.475961.477529	361964	1495	2	0	5	
DRX150622	Lactobacillus gasseri DSM 14869	Lactobacillus	Lactobacillus	1477	14.000	CP006803.1850533.1852112	393880	1502	6	2	5	
ERX034808	metagenome	Lachnospiraceae ND3007 group	Lachnospiraceae ND3007 group	1833	49.571	FPLO01008171.10.1505	1213677	2566	20	7	21	
ERX082528	Lactobacillus reuteri	Lactobacillus	Lactobacillus	2799	12.000	CP015408.302655.304239	753115	2921	4	2	8	
ERX082536	Lactobacillus reuteri	Lactobacillus	Lactobacillus	2461	11.000	CP015408.688490.690074	521865	2559	4	2	7	
ERX1046384	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1694	35.250	CP000413.1565823.1567401	530303	2220	9	2	15	
ERX1046385	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2372	n.d.	CP000413.1565823.1567401	760853	3146	10	0	15	
ERX1046394	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2660	144.000	CP000413.1565823.1567401	865822	3477	16	1	16	
ERX1046395	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2124	16.500	CP000413.1565823.1567401	702293	2798	5	5	14	
ERX1046396	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1962	42.000	CP000413.1565823.1567401	607882	2581	10	2	17	
ERX1046403	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2083	n.d.	CP000413.1565823.1567401	685173	2693	5	0	15	
ERX1046404	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1592	28.250	CP000413.1565823.1567401	546946	2132	7	2	16	
ERX1046405	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1890	42.000	CP000413.1565823.1567401	595669	2447	10	2	17	
ERX1046406	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2360	31.000	CP000413.1565823.1567401	811350	3153	8	2	15	
ERX1046408	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2073	36.250	CP000413.1565823.1567401	580058	2730	9	2	16	
ERX1046409	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	6302	68.000	CP000413.1565823.1567401	1710628	8137	10	1	18	
ERX1046410	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1843	39.500	CP000413.1565823.1567401	536827	2425	7	1	15	
ERX1046411	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2305	28.500	CP000413.1565823.1567401	628299	3001	5	1	16	
ERX1046412	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2996	28.400	CP000413.1565823.1567401	922439	3905	12	5	14	
ERX1046413	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	3598	77.500	CP000413.1565823.1567401	987159	4710	11	1	17	
ERX1046414	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4931	101.500	CP000413.1565823.1567401	1311176	6460	13	1	17	
ERX1046415	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	2180	20.250	CP000413.1565823.1567401	604358	2821	5	2	14	
ERX1046417	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	1736	64.000	CP000413.1565823.1567401	528434	2323	14	2	15	
ERX1046418	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	8951	150.000	CP000413.1565823.1567401	2541047	11663	32	4	22	
ERX1046419	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4823	71.000	CP000413.1565823.1567401	1336869	6381	18	3	17	
ERX1126067	Lactobacillus jensenii	Lactobacillus	Lactobacillus	2477	16.400	CP018809.1516019.1517589	721601	2688	8	5	10	
ERX1126086	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	4487	16.250	FN692037.427906.429457	1375045	4667	5	2	10	
ERX1126089	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	4459	15.167	FN692037.427906.429457	1333340	4626	5	3	11	
ERX1126096	Lactobacillus iners ATCC 55195	Lactobacillus	Lactobacillus	5754	33.500	AEPX01000015.105.1663	917226	6057	7	1	9	
ERX1126106	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	2847	9.500	FN692037.427906.429457	1023587	2946	1	1	9	
ERX1126110	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4388	n.d.	AP018549.475961.477529	865836	4536	2	0	7	
ERX1126115	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4127	7.500	AP018549.475961.477529	842063	4279	1	1	7	
ERX1126138	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	3890	13.500	FN692037.427906.429457	980127	4033	3	1	9	
ERX1126140	Lactobacillus crispatus ST1;Gardnerella vaginalis	Lactobacillus;Gardnerella	Lactobacillus	4746	17.000	FN692037.427906.429457;CP029984.1189920.1191419	1670282	5070	6	3	11	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Lactobacillus;Gardnerella) does not match top mapped taxon (Lactobacillus)
ERX1126143	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	3443	n.d.	FN692037.427906.429457	1029370	3578	4	0	10	
ERX1126146	Lactobacillus jensenii	Lactobacillus	Lactobacillus	3077	n.d.	CP018809.1516019.1517589	743473	3311	3	0	7	
ERX1126150	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	3251	14.500	FN692037.427906.429457	1021377	3350	3	1	10	
ERX1231803	Lactobacillus plantarum	Lactobacillus	Lactobacillus	1863	108.000	CP032359.485125.486700	910317	1983	20	2	8	
ERX1231804	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2147	46.750	CP032359.485125.486700	961062	2306	21	6	10	
ERX1275831	Lactobacillus delbrueckii	Lactobacillus	Lactobacillus	9604	11.500	CP021136.981252.982823	1536957	10747	3	3	10	
ERX1275832	Aerococcus urinae	Aerococcus	Aerococcus	2170	n.d.	AY422716.1.1545	981481	4182	7	0	18	
ERX1275835	Pseudoglutamicibacter albus	Pseudoglutamicibacter	(Micrococcaceae)	969	46.600	AJ243421.1.1501	1148669	3246	14	5	27	WARNING: Assembly taxon (Pseudoglutamicibacter) does not match top mapped taxon ((Micrococcaceae))
ERX1275841	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4451	n.d.	CP025592.1563082.1564661	1033654	5025	5	0	9	
ERX1275856	Fastidiosipila sanguinis;Campylobacter ureolyticus RIGS 9880	Fastidiosipila;Campylobacter	Campylobacter	3797	n.d.	CP027226.1475516.1477054;CP012195.493331.494830	1526269	5079	5	0	14	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Fastidiosipila;Campylobacter) does not match top mapped taxon (Campylobacter)
ERX1275866	Gardnerella vaginalis	Gardnerella	Gardnerella	1357	40.000	CP019058.1615440.1616976	801710	1920	8	1	8	
ERX1275881	Zhihengliuella sp. ISTPL4	Microbacterium	Microbacterium	1005	11.500	CP025422.315135.316639	1225801	1209	3	3	10	
ERX1275883	Streptococcus agalactiae	Streptococcus	Streptococcus	5298	n.d.	LS483342.22138.23674	1026958	7436	5	0	11	
ERX1275920	Lactobacillus delbrueckii subsp. lactis	Lactobacillus	Lactobacillus	9848	22.500	CP018215.281618.283189	1554178	11044	5	1	10	
ERX1275921	Aerococcus urinae	Aerococcus	Aerococcus	2156	21.167	AY422716.1.1545	980157	4129	5	3	17	
ERX1275924	Pseudoglutamicibacter cumminsii	Pseudoglutamicibacter	(Micrococcaceae)	1020	35.250	X93354.1.1483	1163505	3304	10	8	29	WARNING: Assembly taxon (Pseudoglutamicibacter) does not match top mapped taxon ((Micrococcaceae))
ERX1275930	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4408	9.000	CP025592.1563082.1564661	1031306	4957	2	2	8	
ERX1275945	Campylobacter ureolyticus RIGS 9880	Campylobacter	Campylobacter	3748	18.000	CP012195.493331.494830	1522840	5020	4	2	14	
ERX1275955	Gardnerella vaginalis	Gardnerella	Gardnerella	1295	15.167	CP019058.1615440.1616976	799562	1837	5	3	11	
ERX1275970	Microbacterium sp. PAMC 28756	Microbacterium	Microbacterium	1072	15.500	CP014313.66995.68523	1245345	1264	3	1	11	
ERX1275972	Streptococcus agalactiae	Streptococcus	Streptococcus	5353	n.d.	LS483342.22138.23674	1027158	7430	6	0	13	
ERX1276161	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4488	n.d.	CP014201.1046218.1047796	1480877	5059	4	0	10	
ERX1276172	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3704	n.d.	AP018549.475961.477529	1011499	4101	2	0	10	
ERX1276255	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4482	n.d.	CP014201.1046218.1047796	1484247	5054	3	0	10	
ERX1276266	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3909	10.250	AP018549.475961.477529	1032121	4288	3	2	8	
ERX1284229	Lactobacillus murinus	Lactobacillus	Lactobacillus	3064	n.d.	CP023566.832314.833884	538703	3381	11	0	6	
ERX1284238	Lactobacillus taiwanensis	Lactobacillus	Lactobacillus	2207	n.d.	EU487512.1.1526	497268	2238	2	0	4	
ERX1284265	Lactobacillus rodentium	Lactobacillus	Lactobacillus	1653	3.500	HQ851022.1.1436	376999	1699	1	1	3	
ERX1625345	Lactobacillus plantarum	Lactobacillus	Lactobacillus	1070	33.000	CP011769.1010671.1012246	1199478	1169	12	3	9	
ERX1625346	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2509	113.000	CP011769.1010671.1012246	1047330	2715	20	2	13	
ERX1625347	Lactobacillus plantarum	Lactobacillus	Lactobacillus	2593	71.500	CP011769.1010671.1012246	1020617	2842	22	4	11	
ERX178648	Lactobacillus fermentum;Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4601	16.500	CP014201.1046218.1047796;AP017973.1435046.1436618	1681231	5268	3	1	12	WARNING: Multiple SSUs were assembled by SPAdes
ERX178649	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4452	14.500	AP018549.475961.477529	973356	5063	3	1	10	
ERX178650	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	3257	10.500	CP000413.1565823.1567401	994861	3655	1	1	10	
ERX178651	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4166	14.500	CP014201.1046218.1047796	1441652	4780	3	1	10	
ERX178652	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	6587	19.000	CP000413.1565823.1567401	1633867	7438	6	2	10	
ERX178653	Lactobacillus fermentum	Lactobacillus	Lactobacillus	5346	n.d.	AP017973.1435046.1436618	1361117	5926	2	0	9	
ERX178654	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	5102	n.d.	CP014201.1046218.1047796	1790967	5892	3	0	12	
ERX178655	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4128	n.d.	CP014201.1046218.1047796	1479698	4765	5	0	11	
ERX178656	Lactobacillus oris	Lactobacillus	Lactobacillus	7738	n.d.	CP014789.8842.10425	1172966	8335	2	0	15	
ERX178657	Lactobacillus fermentum;Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3683	12.500	CP014201.1046218.1047796;CP016803.1045686.1047241	1508997	4183	1	1	12	WARNING: Multiple SSUs were assembled by SPAdes
ERX178658	uncultured bacterium	Lactobacillus	Lactobacillus	7188	13.000	AY959177.1.1555	1408256	7770	2	1	11	
ERX178659	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2924	16.250	CP014201.1046218.1047796	1060143	3373	5	2	10	
ERX178662	Lactobacillus fermentum;Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4473	n.d.	CP025592.1563082.1564661;CP014201.1046218.1047796	1080877	5081	3	0	9	WARNING: Multiple SSUs were assembled by SPAdes
ERX178664	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5116	15.167	CP017107.541095.542664	1039474	6339	1	3	15	
ERX178665	Lactobacillus sp. KC45b;Lactobacillus fermentum	Lactobacillus	Lactobacillus	4430	8.250	AF243164.1.1511;AP017973.1435046.1436618	1057297	4966	1	2	8	WARNING: Multiple SSUs were assembled by SPAdes
ERX178666	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4463	15.500	CP000413.1565823.1567401	899092	5012	3	1	11	
ERX178667	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4326	n.d.	LT906621.282495.284062	1201699	4830	2	0	8	
ERX178668	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4228	12.000	CP029686.1212146.1213724	1650396	4767	2	1	10	
ERX178669	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4040	11.667	CP029686.1212146.1213724	1880044	4575	4	3	9	
ERX178670	Staphylococcus epidermidis PM221	Staphylococcus	Staphylococcus	5741	16.250	HG813242.2336080.2337610	1226568	6908	5	2	10	
ERX178671	Lactobacillus oris	Lactobacillus	Lactobacillus	4036	35.500	CP014789.8842.10425	1165013	4375	7	1	11	
ERX178672	uncultured bacterium	Lactobacillus	Lactobacillus	3130	17.250	AY959177.1.1555	1045950	3402	5	2	11	
ERX178673	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3907	n.d.	CP014201.1046218.1047796	1386935	4544	2	0	12	
ERX178674	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3011	n.d.	CP014201.1046218.1047796	1090680	3449	4	0	9	
ERX178675	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	3910	11.500	CP000413.1565823.1567401	966459	4423	1	1	11	
ERX178676	Lactobacillus oris	Lactobacillus	Lactobacillus	4330	21.500	CP014789.8842.10425	1093725	4677	5	1	9	
ERX178677	uncultured bacterium	Lactobacillus	Lactobacillus	4101	n.d.	AY959177.1.1555	938773	4466	0	0	12	
ERX178678	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4740	19.000	CP000413.1565823.1567401	903053	5267	4	1	11	
ERX178679	Lactobacillus acidophilus NCFM	Lactobacillus	Lactobacillus	3097	n.d.	CP000033.1632689.1634260	956270	3530	2	0	11	
ERX178680	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2788	27.000	CP029686.1212146.1213724	1209980	3129	6	1	9	
ERX178681	Lactobacillus fermentum	Lactobacillus	Lactobacillus	5311	9.667	AP017973.1435046.1436618	1094568	6024	4	3	7	
ERX178682	Lactobacillus salivarius	Lactobacillus	Lactobacillus	6913	19.000	CP029616.1197226.1198775	1276088	8811	4	2	15	
ERX178683	Brevibacillus brevis;Lactobacillus casei subsp. casei ATCC 393	Brevibacillus;Lactobacillus	Lactobacillus	4144	18.000	CP030117.4369230.4370768;AP012544.709397.710970	1527426	5272	6	3	12	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Brevibacillus;Lactobacillus) does not match top mapped taxon (Lactobacillus)
ERX178684	Brevibacillus agri;Lactobacillus rhamnosus	Brevibacillus;Lactobacillus	Lactobacillus	4342	22.000	AB112716.1.1487;CP014201.1046218.1047796	1622669	5989	4	1	14	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Brevibacillus;Lactobacillus) does not match top mapped taxon (Lactobacillus)
ERX178714	Lactobacillus oris	Lactobacillus	Lactobacillus	3762	14.500	CP014789.8842.10425	1030728	4198	1	1	14	
ERX178715	Lactobacillus fermentum;Brevibacillus brevis	Lactobacillus;Brevibacillus	Lactobacillus	4407	14.500	CP025592.1563082.1564661;CP030117.4369230.4370768	1039931	5187	3	1	10	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Lactobacillus;Brevibacillus) does not match top mapped taxon (Lactobacillus)
ERX178716	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4059	14.167	AP018549.475961.477529	1018430	4739	5	3	10	
ERX178717	Brevibacillus brevis;Lactobacillus paragasseri	Brevibacillus;Lactobacillus	Lactobacillus	4499	15.125	CP030117.4369230.4370768;AP018549.475961.477529	1211335	5642	5	4	12	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Brevibacillus;Lactobacillus) does not match top mapped taxon (Lactobacillus)
ERX178718	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2669	12.500	CP029686.1212146.1213724	1064709	2997	3	1	8	
ERX178719	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4183	10.667	AP018549.475961.477529	1010641	4750	2	3	10	
ERX178720	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	2840	17.000	AP018549.475961.477529	1021491	3231	6	2	8	
ERX178721	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3907	13.500	AP018549.475961.477529	1058271	4443	3	1	9	
ERX178722	Lactobacillus fermentum;Brevibacillus brevis	Lactobacillus;Brevibacillus	Lactobacillus	5738	11.000	LT906621.282495.284062;CP030117.4369230.4370768	1433501	6759	0	2	11	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Lactobacillus;Brevibacillus) does not match top mapped taxon (Lactobacillus)
ERX178723	Lactobacillus paracasei	Lactobacillus	Lactobacillus	5145	16.000	CP029686.1212146.1213724	2083390	5956	6	3	10	
ERX178725	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4306	17.250	CP029686.1212146.1213724	1841823	4935	5	2	11	
ERX178726	Lactobacillus fermentum	Lactobacillus	Lactobacillus	5607	13.250	CP025592.1563082.1564661	1398604	6337	3	2	11	
ERX178728	Lactobacillus parabuchneri	Lactobacillus	Lactobacillus	2300	n.d.	CP018796.1956265.1957835	1153984	2702	1	0	9	
ERX178729	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	3177	11.000	CP003799.455041.456601	1021330	3599	2	2	10	
ERX178730	Lactobacillus oris	Lactobacillus	Lactobacillus	3186	10.500	CP014789.8842.10425	1173013	3497	3	3	9	
ERX178731	Lactobacillus oris	Lactobacillus	Lactobacillus	3241	11.000	CP014789.8842.10425	1146491	3523	2	2	10	
ERX178732	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4031	12.500	AP018549.475961.477529	1040972	4616	1	1	12	
ERX178733	Lactobacillus salivarius	Lactobacillus	Lactobacillus	7246	20.500	CP017107.541095.542664	1458288	8966	3	1	16	
ERX178734	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	7651	19.000	AP018549.475961.477529	1728050	8687	4	1	11	
ERX178735	Lactobacillus salivarius	Lactobacillus	Lactobacillus	4955	18.250	CP017107.541095.542664	1072893	6109	3	2	16	
ERX178736	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4235	n.d.	CP014201.1046218.1047796	1555745	4854	5	0	10	
ERX178737	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4674	n.d.	CP025592.1563082.1564661	1111402	5219	0	0	9	
ERX178738	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4823	14.000	CP000413.1565823.1567401	916727	5358	2	1	12	
ERX178739	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5266	17.000	CP017107.541095.542664	1058008	6490	2	1	15	
ERX178740	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3706	10.250	CP029686.1212146.1213724	1524708	4188	3	2	8	
ERX178741	uncultured bacterium	Lactobacillus	Lactobacillus	3558	n.d.	AY959177.1.1555	995580	3879	3	0	12	
ERX178742	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4732	n.d.	LT906621.282495.284062	1164696	5264	2	0	8	
ERX178743	uncultured bacterium	Lactobacillus	Lactobacillus	3834	n.d.	AY959177.1.1555	1005516	4156	3	0	11	
ERX1939924	Lactobacillus paracasei	Lactobacillus	Lactobacillus	2948	n.d.	CP029686.1212146.1213724	1185014	2982	5	0	4	
ERX2000443	Winkia neuii subsp. anitrata	Actinomyces	(Actinomycetaceae)	1546	n.d.	AM084229.1.1497	1042730	3485	7	0	7	WARNING: Assembly taxon (Actinomyces) does not match top mapped taxon ((Actinomycetaceae))
ERX2000463	Streptococcus parasanguinis ATCC 15912	Streptococcus	Streptococcus	2576	n.d.	CP002843.1727460.1728995	1012297	3252	3	0	8	
ERX2000470	Facklamia hominis CCUG 36813;Corynebacterium sp. NML98-0116	Facklamia;Corynebacterium	Facklamia	3076	23.167	AGZD01000007.535183.536720;CP017639.1640375.1641902	1496800	3801	7	3	15	WARNING: Multiple SSUs were assembled by SPAdes;WARNING: Assembly taxon (Facklamia;Corynebacterium) does not match top mapped taxon (Facklamia)
ERX2000473	Actinomyces oris	Actinomyces	Actinomyces	2187	5.250	AB545935.1.1517	1307734	2247	1	2	5	
ERX2000481	Streptococcus gallolyticus subsp. pasteurianus	Streptococcus	Streptococcus	4386	6.500	LS483462.17605.19141	931918	4657	1	1	6	
ERX2000482	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	2655	17.500	CP014201.1046218.1047796	1171321	2729	5	1	5	
ERX2000484	Gardnerella vaginalis ATCC 14018 = JCM 11026	Gardnerella	Gardnerella	1283	3.500	AP012332.96440.97971	817501	1438	1	1	3	
