sample	Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DRX061119	DRX061119_01556	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061126	DRX061126_01244	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	164	164	100.00	98.17	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
DRX061127	DRX061127_00567	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	506	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061127	DRX061127_01815	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	643	639	99.69	99.69	637	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061131	DRX061131_00567	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	506	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061131	DRX061131_01845	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	643	639	99.69	99.69	637	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061132	DRX061132_00286	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	586	639	91.71	99.83	586	WP_003672618.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061133	DRX061133_01852	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	250	250	100.00	100.00	250	WP_011018369.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
DRX061134	DRX061134_00164	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061135	DRX061135_01832	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061136	DRX061136_00859	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061136	DRX061136_01354	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061138	DRX061138_00026	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	506	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061138	DRX061138_01566	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061139	DRX061139_00166	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	506	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061139	DRX061139_02121	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	643	639	99.69	99.69	637	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061140	DRX061140_00840	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061142	DRX061142_00259	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061145	DRX061145_00008	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.53	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061145	DRX061145_01749	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	164	164	100.00	98.17	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
DRX061149	DRX061149_01173	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061149	DRX061149_01504	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	643	639	99.84	99.53	638	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061150	DRX061150_00936	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	164	164	100.00	97.56	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
DRX061153	DRX061153_01105	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	288	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
DRX061153	DRX061153_01740	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	641	639	99.84	99.69	638	WP_003672618.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061157	DRX061157_00699	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061157	DRX061157_01863	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061158	DRX061158_01992	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
ERX1126067	ERX1126067_01013	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX1126096	ERX1126096_00426	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	492	NA	NA	NA	NA	NA	NA	NF000167.1	Lsa family ABC-F type ribosomal protection protein
ERX1126096	ERX1126096_00616	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
ERX1126096	ERX1126096_00617	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1126146	ERX1126146_00585	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX1275832	ERX1275832_00278	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	243	243	100.00	100.00	243	WP_000810833.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NF012222.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)
ERX1275835	ERX1275835_00592	erm	23S ribosomal RNA methyltransferase Erm	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	264	NA	NA	NA	NA	NA	NA	NF000499.1	23S ribosomal RNA methyltransferase Erm
ERX1275835	ERX1275835_01281	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	284	284	100.00	97.18	284	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NF000499.1	23S ribosomal RNA methyltransferase Erm
ERX1275856	ERX1275856_00026	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.69	639	WP_050232631.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275856	ERX1275856_00917	blaOXA-85	oxacillin-hydrolyzing class D beta-lactamase OXA-85	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	261	261	100.00	100.00	261	WP_032835180.1	oxacillin-hydrolyzing class D beta-lactamase OXA-85	NF000502.2	OXA-85 family oxacillin-hydrolyzing class D beta-lactamase
ERX1275866	ERX1275866_00847	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275866	ERX1275866_01249	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTP	492	492	99.80	90.63	491	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NF000167.1	Lsa family ABC-F type ribosomal protection protein
ERX1275881	ERX1275881_01128	cmx_cmrA	Cmx/CmrA family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	393	NA	NA	NA	NA	NA	NA	NF033135.1	Cmx/CmrA family chloramphenicol efflux MFS transporter
ERX1275883	ERX1275883_00614	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275883	ERX1275883_00660	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	243	243	100.00	100.00	243	WP_000810833.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NF012222.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)
ERX1275921	ERX1275921_00385	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	243	243	100.00	100.00	243	WP_000810833.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NF012222.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)
ERX1275924	ERX1275924_00593	erm	23S ribosomal RNA methyltransferase Erm	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	264	NA	NA	NA	NA	NA	NA	NF000499.1	23S ribosomal RNA methyltransferase Erm
ERX1275924	ERX1275924_01676	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	284	284	100.00	97.18	284	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NF000499.1	23S ribosomal RNA methyltransferase Erm
ERX1275945	ERX1275945_00026	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.69	639	WP_050232631.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275945	ERX1275945_00917	blaOXA-85	oxacillin-hydrolyzing class D beta-lactamase OXA-85	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	261	261	100.00	100.00	261	WP_032835180.1	oxacillin-hydrolyzing class D beta-lactamase OXA-85	NF000502.2	OXA-85 family oxacillin-hydrolyzing class D beta-lactamase
ERX1275955	ERX1275955_00709	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTP	492	492	99.80	90.63	491	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NF000167.1	Lsa family ABC-F type ribosomal protection protein
ERX1275955	ERX1275955_00847	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275970	ERX1275970_01128	cmx_cmrA	Cmx/CmrA family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	393	NA	NA	NA	NA	NA	NA	NF033135.1	Cmx/CmrA family chloramphenicol efflux MFS transporter
ERX1275972	ERX1275972_00614	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
ERX1275972	ERX1275972_00660	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	243	243	100.00	100.00	243	WP_000810833.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NF012222.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)
ERX1276161	ERX1276161_00659	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX1276255	ERX1276255_00292	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178648	ERX178648_00605	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178649	ERX178649_00621	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178651	ERX178651_01587	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178654	ERX178654_01933	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178654	ERX178654_02316	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178655	ERX178655_02470	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178657	ERX178657_00505	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178657	ERX178657_01069	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178659	ERX178659_01790	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178662	ERX178662_00409	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	647	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178664	ERX178664_01677	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178668	ERX178668_01892	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178669	ERX178669_01586	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178670	ERX178670_00442	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NF000155.1	trimethoprim-resistant dihydrofolate reductase DfrC
ERX178670	ERX178670_00810	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	281	281	100.00	98.58	281	WP_000733283.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	NF033139.1	penicillin-hydrolyzing class A beta-lactamase BlaZ
ERX178670	ERX178670_00811	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	585	585	100.00	99.83	585	WP_001096376.1	beta-lactam sensor/signal transducer BlaR1	NF033108.1	beta-lactam sensor/signal transducer BlaR1
ERX178670	ERX178670_00812	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	126	126	100.00	97.62	126	WP_001284656.1	penicillinase repressor BlaI	NF000186.1	penicillinase repressor BlaI
ERX178670	ERX178670_02179	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTP	514	514	100.00	100.00	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NF000089.1	QacA/B family quaternary ammonium compound efflux MFS transporter
ERX178670	ERX178670_02182	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NF000240.1	Mph(C) family macrolide 2'-phosphotransferase
ERX178670	ERX178670_02183	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	488	488	100.00	99.59	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NF000256.1	ABC-F type ribosomal protection protein Msr(A)
ERX178672	ERX178672_01671	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178673	ERX178673_02277	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178674	ERX178674_02292	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178680	ERX178680_01632	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178682	ERX178682_01341	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178683	ERX178683_00750	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	495	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178684	ERX178684_00696	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178718	ERX178718_01694	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178723	ERX178723_01881	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178725	ERX178725_02022	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178733	ERX178733_01644	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178734	ERX178734_00440	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
ERX178735	ERX178735_01708	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
