	ERX1126086	ERX1126089	ERX1126106	ERX1126138	ERX1126140	ERX1126143	ERX1126150	ERX2150228	ERX2150229	ERX271950	ERX271958	ERX450852	ERX450860	GCF_003795065	GCF_003971565	GCF_009730275	GCF_009769205	SRX026143	SRX1090887	SRX130900	SRX130912	SRX130914	SRX155504	SRX155505	SRX155863	SRX155875	SRX2660270	SRX456245	SRX5949263	SRX5986001	SRX5986002	SRX5986003	SRX6613945	SRX6959881	SRX6959883	SRX6959885	SRX6959886	SRX6959887	SRX6959888	SRX6959889	SRX6959890	SRX6959891	SRX6959892	SRX6959893	SRX6959894	SRX6959895
SRX026143	1237	3597	3777	250	371	536	3613	306	306	3767	3767	3767	3767	1479	503	0	3625	0	1305	0	6	4	677	547	677	547	3709	3703	0	381	355	337	3703	3706	3670	3653	3718	3707	3650	3648	3555	3568	3663	3670	3646	3675
SRX1090887	858	3672	3722	1292	1300	1453	3686	1284	1282	3713	3713	3713	3713	949	1445	1304	3631	1305	0	1305	1309	1299	1361	1504	1361	1504	3744	3738	1305	1285	1283	1264	3722	3777	3642	3673	3733	3742	3620	3627	3578	3610	3633	3642	3624	3646
SRX130900	1237	3597	3777	250	371	536	3613	306	306	3767	3767	3767	3767	1479	503	0	3625	0	1305	0	6	4	677	547	677	547	3710	3704	0	381	355	337	3703	3706	3670	3653	3718	3708	3650	3648	3555	3568	3663	3670	3646	3675
SRX130912	1241	3596	3776	254	375	540	3613	310	310	3766	3766	3766	3766	1484	507	6	3624	6	1309	6	0	8	681	551	681	551	3710	3704	6	385	359	341	3702	3705	3669	3653	3717	3708	3649	3647	3554	3567	3662	3669	3645	3674
SRX130914	1231	3595	3773	252	373	538	3611	308	308	3763	3763	3763	3763	1474	499	4	3622	4	1299	4	8	0	673	549	673	549	3706	3700	4	381	357	339	3700	3701	3667	3646	3713	3704	3650	3643	3550	3563	3663	3665	3641	3670
SRX155504	1230	3676	3813	686	560	359	3705	691	691	3808	3808	3808	3808	1390	755	677	3654	677	1361	677	681	673	0	305	0	305	3765	3759	677	641	615	620	3762	3778	3729	3701	3788	3763	3707	3702	3617	3629	3724	3728	3700	3733
SRX155505	1379	3681	3815	547	423	260	3697	610	610	3809	3809	3809	3809	1620	639	547	3661	547	1504	547	551	549	305	0	305	0	3767	3761	547	502	476	479	3749	3769	3724	3710	3775	3765	3703	3699	3599	3611	3718	3724	3698	3729
SRX155863	1230	3676	3813	686	560	359	3705	691	691	3808	3808	3808	3808	1390	755	677	3654	677	1361	677	681	673	0	305	0	305	3765	3759	677	641	615	620	3762	3778	3729	3701	3788	3763	3707	3702	3617	3629	3724	3728	3700	3733
SRX155875	1379	3681	3815	547	423	260	3697	610	610	3809	3809	3809	3809	1620	639	547	3661	547	1504	547	551	549	305	0	305	0	3767	3761	547	502	476	479	3749	3769	3724	3710	3775	3765	3703	3699	3599	3611	3718	3724	3698	3729
SRX2660270	3806	2712	2877	3734	3706	3776	2740	3703	3700	2872	2872	2872	2872	3684	3692	3710	2828	3709	3744	3710	3710	3706	3765	3767	3765	3767	0	1	3710	3708	3709	3702	2974	2750	2780	2809	2831	0	2765	2749	2783	2833	2770	2781	2749	2781
SRX456245	3800	2711	2872	3728	3700	3770	2738	3697	3694	2867	2867	2867	2867	3678	3686	3704	2825	3703	3738	3704	3704	3700	3759	3761	3759	3761	1	0	3704	3702	3703	3696	2970	2749	2780	2807	2830	1	2766	2749	2783	2830	2770	2781	2749	2781
SRX5949263	1237	3597	3777	250	371	536	3613	306	306	3767	3767	3767	3767	1479	503	0	3625	0	1305	0	6	4	677	547	677	547	3710	3704	0	381	355	337	3703	3706	3670	3653	3718	3708	3650	3648	3554	3567	3663	3670	3646	3675
SRX5986001	1196	3660	3761	371	143	517	3637	437	437	3752	3752	3752	3752	1432	457	380	3626	381	1285	381	385	381	641	502	641	502	3708	3702	381	0	26	56	3712	3764	3668	3666	3706	3706	3647	3640	3552	3562	3662	3668	3638	3673
SRX5986002	1194	3663	3755	345	117	491	3656	411	411	3746	3746	3746	3746	1456	451	354	3625	355	1283	355	359	357	615	476	615	476	3709	3703	355	26	0	30	3710	3767	3669	3667	3711	3707	3648	3641	3557	3567	3663	3669	3639	3674
SRX5986003	1188	3645	3750	329	139	492	3652	393	393	3741	3741	3741	3741	1451	444	336	3613	337	1264	337	341	339	620	479	620	479	3702	3696	337	56	30	0	3699	3758	3659	3665	3704	3700	3638	3637	3553	3563	3653	3659	3635	3664
SRX6613945	3777	3197	3193	3741	3708	3779	3072	3694	3690	3187	3187	3187	3187	3716	3655	3702	3080	3703	3722	3703	3702	3700	3762	3749	3762	3749	2974	2970	3703	3712	3710	3699	0	3126	3102	3081	3113	2973	3090	3056	3047	3077	3094	3099	3053	3104
SRX6959881	3845	801	2976	3763	3759	3796	1093	3693	3690	2959	2959	2959	2959	3680	3720	3706	2976	3706	3777	3706	3705	3701	3778	3769	3778	3769	2750	2749	3706	3764	3767	3758	3126	0	2945	2895	2979	2750	2935	2905	2891	2932	2941	2947	2908	2946
SRX6959883	3778	3031	2823	3698	3669	3746	3061	3651	3649	2813	2813	2813	2813	3586	3672	3669	2451	3670	3642	3670	3669	3667	3729	3724	3729	3724	2780	2780	3670	3668	3669	3659	3102	2945	0	2658	2684	2779	5	276	1787	1787	3	0	277	2
SRX6959885	3718	2970	2731	3683	3659	3718	3024	3632	3627	2723	2723	2723	2723	3628	3645	3652	2676	3653	3673	3653	3653	3646	3701	3710	3701	3710	2809	2807	3653	3666	3667	3665	3081	2895	2658	0	2848	2807	2642	2632	2682	2716	2652	2660	2635	2661
SRX6959886	3823	3030	2750	3732	3709	3794	3101	3684	3679	2720	2720	2720	2721	3673	3674	3718	2666	3718	3733	3718	3717	3713	3788	3775	3788	3775	2831	2830	3718	3706	3711	3704	3113	2979	2684	2848	0	2831	2671	2682	2656	2667	2683	2684	2680	2686
SRX6959887	3804	2710	2877	3732	3704	3774	2738	3701	3698	2871	2871	2871	2871	3682	3690	3708	2828	3707	3742	3708	3708	3704	3763	3765	3763	3765	0	1	3708	3706	3707	3700	2973	2750	2779	2807	2831	0	2765	2749	2782	2832	2770	2781	2749	2780
SRX6959888	3757	3017	2805	3678	3648	3723	3048	3628	3626	2795	2795	2795	2795	3564	3655	3649	2444	3650	3620	3650	3649	3650	3707	3703	3707	3703	2765	2766	3650	3647	3648	3638	3090	2935	5	2642	2671	2765	0	279	1776	1773	6	5	280	5
SRX6959889	3751	2989	2779	3673	3642	3720	3034	3629	3627	2769	2769	2769	2769	3566	3641	3647	2443	3648	3627	3648	3647	3643	3702	3699	3702	3699	2749	2749	3648	3640	3641	3637	3056	2905	276	2632	2682	2749	279	0	1822	1865	277	276	1	276
SRX6959890	3658	2970	2715	3587	3559	3621	3002	3543	3541	2692	2692	2692	2692	3530	3534	3554	2421	3555	3578	3555	3554	3550	3617	3599	3617	3599	2783	2783	3554	3552	3557	3553	3047	2891	1787	2682	2656	2782	1776	1822	0	286	1784	1788	1825	1787
SRX6959891	3684	3003	2750	3604	3569	3632	3027	3557	3555	2726	2726	2726	2726	3560	3544	3567	2438	3568	3610	3568	3567	3563	3629	3611	3629	3611	2833	2830	3567	3562	3567	3563	3077	2932	1787	2716	2667	2832	1773	1865	286	0	1786	1787	1865	1789
SRX6959892	3771	3021	2816	3692	3663	3738	3047	3643	3641	2807	2807	2807	2807	3581	3669	3662	2445	3663	3633	3663	3662	3663	3724	3718	3724	3718	2770	2770	3663	3662	3663	3653	3094	2941	3	2652	2683	2770	6	277	1784	1786	0	3	278	3
SRX6959893	3778	3031	2819	3698	3669	3746	3062	3651	3649	2809	2809	2809	2809	3585	3670	3669	2449	3670	3642	3670	3669	3665	3728	3724	3728	3724	2781	2781	3670	3668	3669	3659	3099	2947	0	2660	2684	2781	5	276	1788	1787	3	0	277	2
SRX6959894	3749	2992	2778	3671	3640	3718	3036	3627	3625	2768	2768	2768	2768	3564	3640	3645	2442	3646	3624	3646	3645	3641	3700	3698	3700	3698	2749	2749	3646	3638	3639	3635	3053	2908	277	2635	2680	2749	280	1	1825	1865	278	277	0	277
SRX6959895	3783	3032	2823	3703	3674	3751	3062	3656	3654	2813	2813	2813	2813	3590	3675	3674	2453	3675	3646	3675	3674	3670	3733	3729	3733	3729	2781	2781	3675	3673	3674	3664	3104	2946	2	2661	2686	2780	5	276	1787	1789	3	2	277	0
